TIPE|TOKO|TGL_SALES|KOLOM1|KOLOM2|KOLOM3|KOLOM4|TIPE_SHIFT
HEADER|FF54|2022-12-10|45350000|BANK BCA|4451268711|2022-12-11|HARIAN
MINUS|FF54|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FF54 10/12/2022|13478|HARIAN
HEADER|FF55|2022-12-10|27750000|BANK BCA|4451268729|2022-12-11|HARIAN
MINUS|FF55|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FF55 10/12/2022|830825|HARIAN
HEADER|FF56|2022-12-10|30150000|BANK BCA|4451268737|2022-12-11|HARIAN
MINUS|FF56|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FF56 10/12/2022|48763|HARIAN
HEADER|FMVK|2022-12-10|33950000|BANK BCA|4451269890|2022-12-11|HARIAN
MINUS|FMVK|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FMVK 10/12/2022|99125|HARIAN
HEADER|FNRD|2022-12-10|26300000|BANK BCA|4451269903|2022-12-11|HARIAN
MINUS|FNRD|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FNRD 10/12/2022|35500|HARIAN
HEADER|FP07|2022-12-10|32550000|BANK BCA|4451871409|2022-12-11|HARIAN
MINUS|FP07|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FP07 10/12/2022|315340|HARIAN
HEADER|FP08|2022-12-10|45150000|BANK BCA|4451268834|2022-12-11|HARIAN
MINUS|FP08|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FP08 10/12/2022|22372|HARIAN
HEADER|FQ60|2022-12-10|21000000|BANK BCA|4451269245|2022-12-11|HARIAN
MINUS|FQ60|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  FQ60 10/12/2022|49131|HARIAN
HEADER|T93A|2022-12-10|74800000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T93A|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T93A 10/12/2022|7068450|HARIAN
HEADER|TP96|2022-12-10|58950000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TP96|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TP96 10/12/2022|3598000|HARIAN
HEADER|THR5|2022-12-10|51600000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|THR5|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  THR5 10/12/2022|2550166|HARIAN
HEADER|TMIJ|2022-12-10|20800000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|TMIJ|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  TMIJ 10/12/2022|201541|HARIAN
HEADER|T812|2022-12-10|24400000|BANK BCA|4456377777|2022-12-12|HARIAN
MINUS|T812|2022-12-10|Potongan Lain - lain |2022-12-10|Potongan Lain - lain  T812 10/12/2022|134050|HARIAN
HEADER|T70X|2022-12-10|20650000|BANK BCA|4456377777|2022-12-12|HARIAN
